fecha,ticker_yahoo,empresa,precio_cierre,volumen,sma_50,sma_200
2022-03-28,COL.MC,Inmobiliaria Colonial,6.9222,661613,6.475676,6.9738625
2022-03-29,COL.MC,Inmobiliaria Colonial,6.9305,1174385,6.477928,6.972285
2022-03-30,COL.MC,Inmobiliaria Colonial,6.943,1148888,6.480262,6.970465
2022-03-31,COL.MC,Inmobiliaria Colonial,6.8721,808257,6.481846,6.9687785
2022-04-01,COL.MC,Inmobiliaria Colonial,6.8888,1330991,6.485848,6.967155
2022-04-04,COL.MC,Inmobiliaria Colonial,6.9097,1256012,6.495522,6.9658395
2022-04-05,COL.MC,Inmobiliaria Colonial,6.9722,951483,6.50653,6.9657115
2022-04-06,COL.MC,Inmobiliaria Colonial,6.7387,1062754,6.510866,6.964538
2022-04-07,COL.MC,Inmobiliaria Colonial,6.8638,1030843,6.517288,6.9642135
2022-04-08,COL.MC,Inmobiliaria Colonial,6.8805,848962,6.52446,6.9633825
2022-04-11,COL.MC,Inmobiliaria Colonial,6.9138,669485,6.531964,6.962291
2022-04-12,COL.MC,Inmobiliaria Colonial,6.8305,814708,6.538386,6.960376
2022-04-13,COL.MC,Inmobiliaria Colonial,6.9264,590353,6.54681,6.9588595
2022-04-14,COL.MC,Inmobiliaria Colonial,6.9472,632198,6.557568,6.957223
2022-04-18,COL.MC,Inmobiliaria Colonial,6.9472,632198,6.57308,6.9561765
2022-04-19,COL.MC,Inmobiliaria Colonial,6.8305,800374,6.588426,6.9535495
2022-04-20,COL.MC,Inmobiliaria Colonial,6.8513,1082464,6.603688,6.950005
2022-04-21,COL.MC,Inmobiliaria Colonial,6.9138,569587,6.616948,6.9478365
2022-04-22,COL.MC,Inmobiliaria Colonial,6.7804,711359,6.624286,6.9456055
2022-04-25,COL.MC,Inmobiliaria Colonial,6.7637,611266,6.632208,6.943729
2022-04-26,COL.MC,Inmobiliaria Colonial,6.8346,839718,6.64405,6.94179
2022-04-27,COL.MC,Inmobiliaria Colonial,6.8221,1005277,6.653808,6.9404555
2022-04-28,COL.MC,Inmobiliaria Colonial,6.7679,1019922,6.659812,6.937912
2022-04-29,COL.MC,Inmobiliaria Colonial,6.647,909319,6.663816,6.9338255
2022-05-02,COL.MC,Inmobiliaria Colonial,6.5511,989871,6.667486,6.9296975
2022-05-03,COL.MC,Inmobiliaria Colonial,6.6011,909448,6.673658,6.9252565
2022-05-04,COL.MC,Inmobiliaria Colonial,6.5135,674900,6.678244,6.92044
2022-05-05,COL.MC,Inmobiliaria Colonial,6.5427,883409,6.68333,6.9155195
2022-05-06,COL.MC,Inmobiliaria Colonial,6.3968,994282,6.688252,6.9099735
2022-05-09,COL.MC,Inmobiliaria Colonial,6.2675,655678,6.68525,6.9040315
2022-05-10,COL.MC,Inmobiliaria Colonial,6.2425,528160,6.684166,6.897756
2022-05-11,COL.MC,Inmobiliaria Colonial,6.3259,652138,6.684916,6.891105
2022-05-12,COL.MC,Inmobiliaria Colonial,6.2592,1452201,6.679412,6.885038
2022-05-13,COL.MC,Inmobiliaria Colonial,6.4093,1020086,6.681664,6.879325
2022-05-16,COL.MC,Inmobiliaria Colonial,6.4218,945960,6.688754,6.872653
2022-05-17,COL.MC,Inmobiliaria Colonial,6.4385,1017858,6.69676,6.8656265
2022-05-18,COL.MC,Inmobiliaria Colonial,6.476,772444,6.7041,6.859288
2022-05-19,COL.MC,Inmobiliaria Colonial,6.3467,745563,6.703432,6.852574
2022-05-20,COL.MC,Inmobiliaria Colonial,6.4051,571711,6.703098,6.845735
2022-05-23,COL.MC,Inmobiliaria Colonial,6.5135,554058,6.701512,6.839313
2022-05-24,COL.MC,Inmobiliaria Colonial,6.4552,483116,6.69726,6.8321615
2022-05-25,COL.MC,Inmobiliaria Colonial,6.4218,609284,6.691756,6.824593
2022-05-26,COL.MC,Inmobiliaria Colonial,6.4718,522581,6.685334,6.818046
2022-05-27,COL.MC,Inmobiliaria Colonial,6.5302,863158,6.67983,6.811499
2022-05-30,COL.MC,Inmobiliaria Colonial,6.4927,684487,6.673492,6.8051815
2022-05-31,COL.MC,Inmobiliaria Colonial,6.3759,921157,6.666068,6.7986135
