Activo_1,Activo_2,Correlacion,Sector_Activo_1,Sector_Activo_2
Ferrovial,BBVA,0.3917396202014846,Construcción,Bancos Y Cajas De Ahorro
Fluidra,BBVA,0.329305082896278,Ingeniería Y Otros,Bancos Y Cajas De Ahorro
Grifols,BBVA,0.19355294827288017,Productos Farmacéuticos Y Biotecnología,Bancos Y Cajas De Ahorro
Iberdrola,BBVA,0.21857132828614098,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Inditex,BBVA,0.4157366629082309,"Textil, Vestido Y Calzado",Bancos Y Cajas De Ahorro
Indra,BBVA,0.2496983830925968,Electrónica Y Software,Bancos Y Cajas De Ahorro
Inmobiliaria Colonial,BBVA,0.3327468331434292,Socimi,Bancos Y Cajas De Ahorro
International Airlines Group,BBVA,0.43523443977748244,Transporte Y Distribución,Bancos Y Cajas De Ahorro
Laboratorios Rovi,BBVA,0.157690041404098,Productos Farmacéuticos Y Biotecnología,Bancos Y Cajas De Ahorro
Logista,BBVA,0.3364826611820244,Transporte Y Distribución,Bancos Y Cajas De Ahorro
MAPFRE,BBVA,0.5300219437888412,Seguros,Bancos Y Cajas De Ahorro
Meliá Hotels International,BBVA,0.4210741356016403,"Ocio, Turismo Y Hostelería",Bancos Y Cajas De Ahorro
Merlin Properties,BBVA,0.36286348541424795,Socimi,Bancos Y Cajas De Ahorro
Naturgy,BBVA,0.18796357558210094,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Redeia,BBVA,0.07285205725490404,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Repsol,BBVA,0.27945316500185585,Petróleo,Bancos Y Cajas De Ahorro
Sacyr,BBVA,0.4782459504394377,Construcción,Bancos Y Cajas De Ahorro
Santander,BBVA,0.790216852762603,Bancos Y Cajas De Ahorro,Bancos Y Cajas De Ahorro
Solaria,BBVA,0.11664822568602,Energías Renovables,Bancos Y Cajas De Ahorro
Telefónica,BBVA,0.24717263510813636,Telecomunicaciones Y Otros,Bancos Y Cajas De Ahorro
Unicaja,BBVA,0.6394304086704372,Bancos Y Cajas De Ahorro,Bancos Y Cajas De Ahorro
ACS,Banco Sabadell,0.3826335953917427,Construcción,Bancos Y Cajas De Ahorro
Acciona,Banco Sabadell,0.15060099931906148,Construcción,Bancos Y Cajas De Ahorro
Acciona Energía,Banco Sabadell,0.10311281730961182,Energías Renovables,Bancos Y Cajas De Ahorro
Acerinox,Banco Sabadell,0.3814508417054854,"Mineral, Metales Y Transformación",Bancos Y Cajas De Ahorro
Aena,Banco Sabadell,0.3062791620217335,Transporte Y Distribución,Bancos Y Cajas De Ahorro
Amadeus IT Group,Banco Sabadell,0.324435988664536,Electrónica Y Software,Bancos Y Cajas De Ahorro
ArcelorMittal,Banco Sabadell,0.40259024123831966,"Mineral, Metales Y Transformación",Bancos Y Cajas De Ahorro
BBVA,Banco Sabadell,0.6818922245963792,Bancos Y Cajas De Ahorro,Bancos Y Cajas De Ahorro
Bankinter,Banco Sabadell,0.7480500849915864,Bancos Y Cajas De Ahorro,Bancos Y Cajas De Ahorro
CaixaBank,Banco Sabadell,0.7750187664944584,Bancos Y Cajas De Ahorro,Bancos Y Cajas De Ahorro
Cellnex Telecom,Banco Sabadell,-0.005713932653499252,Telecomunicaciones Y Otros,Bancos Y Cajas De Ahorro
Enagás,Banco Sabadell,0.0871068333155491,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Endesa,Banco Sabadell,0.16363704486835154,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Ferrovial,Banco Sabadell,0.27907052466174137,Construcción,Bancos Y Cajas De Ahorro
Fluidra,Banco Sabadell,0.21482346516887632,Ingeniería Y Otros,Bancos Y Cajas De Ahorro
Grifols,Banco Sabadell,0.16300863674742339,Productos Farmacéuticos Y Biotecnología,Bancos Y Cajas De Ahorro
Iberdrola,Banco Sabadell,0.11199765092390396,Electricidad Y Gas,Bancos Y Cajas De Ahorro
Inditex,Banco Sabadell,0.2778409897054794,"Textil, Vestido Y Calzado",Bancos Y Cajas De Ahorro
Indra,Banco Sabadell,0.236335131452261,Electrónica Y Software,Bancos Y Cajas De Ahorro
Inmobiliaria Colonial,Banco Sabadell,0.2316776479488107,Socimi,Bancos Y Cajas De Ahorro
International Airlines Group,Banco Sabadell,0.39779403941250224,Transporte Y Distribución,Bancos Y Cajas De Ahorro
